,name,gross,runtime,budget,score,genre,votes,year,director,rating,released,star,writer,company,gross_bin,month,isweekend
1739,Lincoln,182207973,150,65000000,7.4,Biography,211227,2012,Steven Spielberg,PG-13,11/16/2012,Daniel Day-Lewis,Tony Kushner,DreamWorks,4,11,0
1740,Skyfall,304360277,143,200000000,7.8,Action,556275,2012,Sam Mendes,PG-13,11/9/2012,Daniel Craig,Ian Fleming,Eon Productions,4,11,0
1741,Vamps,2964,92,16000000,5.1,Comedy,8112,2012,Amy Heckerling,PG-13,11/2/2012,Alicia Silverstone,Amy Heckerling,Lucky Monkey Pictures,1,11,0
1742,Fun Size,9402410,86,14000000,5.4,Adventure,12027,2012,Josh Schwartz,PG-13,10/26/2012,Victoria Justice,Max Werner,Paramount Pictures,2,10,0
1743,Alex Cross,25888412,101,35000000,5.1,Action,29622,2012,Rob Cohen,PG-13,10/19/2012,Tyler Perry,Marc Moss,Block / Hanson,3,10,0
1744,The Perks of Being a Wallflower,17738570,102,13000000,8.0,Drama,386932,2012,Stephen Chbosky,PG-13,10/12/2012,Logan Lerman,Stephen Chbosky,Summit Entertainment,3,10,0
1746,Pitch Perfect,65001093,112,17000000,7.2,Comedy,231932,2012,Jason Moore,PG-13,10/5/2012,Anna Kendrick,Kay Cannon,Brownstone Productions (II),3,10,0
1747,B�squeda implacable 2,139854287,92,45000000,6.3,Action,254843,2012,Olivier Megaton,PG-13,10/5/2012,Liam Neeson,Luc Besson,EuropaCorp,4,10,0
1749,House at the End of the Street,31611916,101,6900000,5.6,Drama,62147,2012,Mark Tonderai,PG-13,9/21/2012,Jennifer Lawrence,David Loucka,Relativity Media,3,9,0
1750,Trouble with the Curve,35763137,111,60000000,6.8,Drama,51704,2012,Robert Lorenz,PG-13,9/21/2012,Clint Eastwood,Randy Brown,Warner Bros.,3,9,0
1751,Amour,6739492,127,8900000,7.9,Drama,77023,2012,Michael Haneke,PG-13,9/20/2012,Jean-Louis Trintignant,Michael Haneke,Les Films du Losange,2,9,0
1752,Robot & Frank,3325638,89,2500000,7.1,Comedy,55671,2012,Jake Schreier,PG-13,9/19/2012,Peter Sarsgaard,Christopher Ford,Dog Run Pictures,2,9,0
1753,LOL,46500,97,11000000,4.3,Comedy,47937,2012,Lisa Azuelos,PG-13,9/14/2012,Miley Cyrus,Lisa Azuelos,Double Feature Films,1,9,0
1754,The Cold Light of Day,3749061,93,20000000,4.9,Action,30822,2012,Mabrouk El Mechri,PG-13,9/7/2012,Henry Cavill,Scott Wiper,Summit Entertainment,2,9,0
1755,The Words,11494838,102,6000000,7.1,Drama,64718,2012,Brian Klugman,PG-13,9/7/2012,Bradley Cooper,Brian Klugman,Also Known As Pictures,3,9,0
1756,The Good Doctor,4106,91,6000000,5.6,Drama,5532,2012,Lance Daly,PG-13,8/31/2012,Orlando Bloom,John Enbom,Code Red,1,8,0
1757,The Possession,49130154,92,14000000,5.9,Horror,50230,2012,Ole Bornedal,PG-13,8/31/2012,Natasha Calis,Juliet Snowden,Ghost House Pictures,3,8,0
1758,Premium Rush,20275446,91,35000000,6.5,Action,100314,2012,David Koepp,PG-13,8/24/2012,Joseph Gordon-Levitt,David Koepp,Columbia Pictures,3,8,0
1759,The Apparition,4930798,83,17000000,4.1,Horror,17172,2012,Todd Lincoln,PG-13,8/24/2012,Ashley Greene,Todd Lincoln,Warner Bros.,2,8,0
1760,The Bourne Legacy,113203870,135,125000000,6.7,Action,250175,2012,Tony Gilroy,PG-13,8/10/2012,Jeremy Renner,Tony Gilroy,Universal Pictures,4,8,0
1761,Hope Springs,63536011,100,30000000,6.3,Comedy,36501,2012,David Frankel,PG-13,8/8/2012,Meryl Streep,Vanessa Taylor,Columbia Pictures,3,8,0
1762,Total Recall,58877969,118,125000000,6.3,Action,214699,2012,Len Wiseman,PG-13,8/3/2012,Colin Farrell,Kurt Wimmer,Total Recall,3,8,0
1763,Step Up Revolution,35074677,99,33000000,6.5,Drama,48309,2012,Scott Speer,PG-13,7/27/2012,Kathryn McCormick,Amanda Brody,Offspring Entertainment,3,7,0
1764,The Dark Knight Rises,448139099,164,250000000,8.4,Action,1253772,2012,Christopher Nolan,PG-13,7/20/2012,Christian Bale,Jonathan Nolan,Warner Bros.,4,7,0
1765,The Amazing Spider-Man,262030663,136,230000000,7.0,Action,484931,2012,Marc Webb,PG-13,7/3/2012,Andrew Garfield,James Vanderbilt,Columbia Pictures,4,7,0
1766,Moonrise Kingdom,45512466,94,16000000,7.8,Adventure,261362,2012,Wes Anderson,PG-13,6/29/2012,Jared Gilman,Wes Anderson,Indian Paintbrush,3,6,0
1767,People Like Us,12412386,100,16000000,7.1,Comedy,36565,2012,Alex Kurtzman,PG-13,6/29/2012,Chris Pine,Alex Kurtzman,DreamWorks,3,6,0
1768,Madea's Witness Protection,65653242,100,20000000,4.9,Comedy,7957,2012,Tyler Perry,PG-13,6/29/2012,Tyler Perry,Tyler Perry,"Tyler Perry Company, The",3,6,0
1769,Bernie,9203192,99,5000000,6.8,Biography,49922,2012,Richard Linklater,PG-13,6/22/2012,Jack Black,Skip Hollandsworth,Mandalay Vision,2,6,0
1771,Rock of Ages,38518613,123,75000000,5.9,Comedy,65550,2012,Adam Shankman,PG-13,6/15/2012,Julianne Hough,Justin Theroux,New Line Cinema,3,6,0
1772,Snow White and the Huntsman,155332381,127,170000000,6.1,Action,243327,2012,Rupert Sanders,PG-13,6/1/2012,Kristen Stewart,Evan Daugherty,Roth Films,4,6,0
1773,The Best Exotic Marigold Hotel,46412041,124,10000000,7.3,Comedy,80051,2012,John Madden,PG-13,5/25/2012,Judi Dench,Ol Parker,Blueprint Pictures,3,5,0
1774,Men in Black 3,179020854,100,225000000,6.8,Action,282995,2012,Barry Sonnenfeld,PG-13,5/25/2012,Will Smith,Etan Cohen,Columbia Pictures,4,5,0
1775,Battleship,65422625,131,209000000,5.8,Action,213632,2012,Peter Berg,PG-13,5/18/2012,Alexander Skarsg�rd,Jon Hoeber,Universal Pictures,3,5,0
1776,What to Expect When You're Expecting,41152203,110,40000000,5.7,Comedy,61163,2012,Kirk Jones,PG-13,5/18/2012,Cameron Diaz,Shauna Cross,Lionsgate,3,5,0
1777,Dark Shadows,79727149,113,150000000,6.2,Comedy,213561,2012,Tim Burton,PG-13,5/11/2012,Johnny Depp,Seth Grahame-Smith,Warner Bros.,3,5,0
1779,The Avengers,623357910,143,220000000,8.1,Action,1064633,2012,Joss Whedon,PG-13,5/4/2012,Robert Downey Jr.,Joss Whedon,Marvel Studios,4,5,0
1780,A Separation,7098492,123,500000,8.4,Drama,170427,2012,Asghar Farhadi,PG-13,4/20/2012,Payman Maadi,Asghar Farhadi,Asghar Farhadi Productions,2,4,0
1781,The Lucky One,60457138,101,25000000,6.5,Drama,85269,2012,Scott Hicks,PG-13,4/20/2012,Zac Efron,Will Fetters,Warner Bros.,3,4,0
1782,Think Like a Man,91547205,100,12000000,6.6,Comedy,36989,2012,Tim Story,PG-13,4/20/2012,Chris Brown,Keith Merryman,Screen Gems,3,4,0
1783,Lockout,14326864,95,20000000,6.1,Action,85680,2012,James Mather,PG-13,4/13/2012,Guy Pearce,Stephen St. Leger,EuropaCorp,3,4,0
1784,Furia de Titanes 2,83670083,99,150000000,5.8,Action,161836,2012,Jonathan Liebesman,PG-13,3/30/2012,Sam Worthington,Dan Mazeau,Warner Bros.,3,3,0
1785,The Hunger Games,408010692,142,78000000,7.2,Adventure,748581,2012,Gary Ross,PG-13,3/23/2012,Jennifer Lawrence,Gary Ross,Lionsgate,4,3,0
1786,John Carter,73078100,132,250000000,6.6,Action,224234,2012,Andrew Stanton,PG-13,3/9/2012,Taylor Kitsch,Andrew Stanton,The Walt Disney Company,3,3,0
1787,A Thousand Words,18438149,91,40000000,5.9,Comedy,33384,2012,Brian Robbins,PG-13,3/9/2012,Eddie Murphy,Steve Koren,DreamWorks,3,3,0
1789,Ghost Rider: Spirit of Vengeance,51774002,96,57000000,4.3,Action,94617,2012,Mark Neveldine,PG-13,2/17/2012,Nicolas Cage,Scott M. Gimple,Columbia Pictures,3,2,0
1790,This Means War,54760791,97,65000000,6.3,Action,157282,2012,McG,PG-13,2/17/2012,Reese Witherspoon,Timothy Dowling,Overbrook Entertainment,3,2,0
1791,The Vow,125014030,104,30000000,6.8,Drama,159841,2012,Michael Sucsy,PG-13,2/10/2012,Rachel McAdams,Abby Kohn,Screen Gems,4,2,0
1792,Chronicle,64575175,89,12000000,7.1,Sci-Fi,216523,2012,Josh Trank,PG-13,2/3/2012,Dane DeHaan,Max Landis,Twentieth Century Fox Film Corporation,3,2,0
1793,The Woman in Black,54333290,95,17000000,6.4,Drama,153960,2012,James Watkins,PG-13,2/3/2012,Daniel Radcliffe,Susan Hill,Cross Creek Pictures,3,2,0
1794,Like Crazy,3413908,86,250000,6.7,Drama,51491,2012,Drake Doremus,PG-13,1/27/2012,Felicity Jones,Drake Doremus,Paramount Pictures,2,1,0
1795,Man on a Ledge,18620000,102,42000000,6.6,Action,131006,2012,Asger Leth,PG-13,1/27/2012,Sam Worthington,Pablo F. Fenjves,Summit Entertainment,3,1,0
1796,One for the Money,26414527,91,40000000,5.3,Action,36211,2012,Julie Anne Robinson,PG-13,1/27/2012,Katherine Heigl,Stacy Sherman,Lakeshore Entertainment,3,1,0
1797,The Artist,44671682,100,15000000,7.9,Comedy,202820,2012,Michel Hazanavicius,PG-13,1/20/2012,Jean Dujardin,Michel Hazanavicius,Studio 37,3,1,0
1798,Extremely Loud & Incredibly Close,31847881,129,40000000,6.9,Adventure,87522,2012,Stephen Daldry,PG-13,1/20/2012,Thomas Horn,Eric Roth,Warner Bros.,3,1,0
1799,Red Tails,49876377,100,58000000,5.9,Action,30097,2012,Anthony Hemingway,PG-13,1/20/2012,Cuba Gooding Jr.,John Ridley,Twentieth Century Fox Film Corporation,3,1,0
1800,The Iron Lady,30017992,105,13000000,6.4,Biography,88841,2012,Phyllida Lloyd,PG-13,1/13/2012,Meryl Streep,Abi Morgan,Path�,3,1,0
1801,Joyful Noise,30920167,100,25000000,5.7,Comedy,7044,2012,Todd Graff,PG-13,1/13/2012,Queen Latifah,Todd Graff,Alcon Entertainment,3,1,0
1802,War Horse,79884879,146,66000000,7.2,Drama,125204,2011,Steven Spielberg,PG-13,12/25/2011,Jeremy Irvine,Lee Hall,DreamWorks,3,12,1
1803,The Darkest Hour,21426805,89,30000000,4.9,Action,51758,2011,Chris Gorak,PG-13,12/25/2011,Emile Hirsch,Jon Spaihts,Summit Entertainment,3,12,1
1804,Mission: Impossible - Ghost Protocol,209397903,132,145000000,7.4,Action,388730,2011,Brad Bird,PG-13,12/21/2011,Tom Cruise,Bruce Geller,Paramount Pictures,4,12,0
1805,Sherlock Holmes: A Game of Shadows,186848418,129,125000000,7.5,Action,365008,2011,Guy Ritchie,PG-13,12/16/2011,Robert Downey Jr.,Michele Mulroney,Warner Bros.,4,12,0
1806,New Year's Eve,54544638,113,56000000,5.7,Comedy,70914,2011,Garry Marshall,PG-13,12/9/2011,Sarah Jessica Parker,Katherine Fugate,New Line Cinema,3,12,0
1807,Anonymous,4463292,130,30000000,6.9,Drama,36079,2011,Roland Emmerich,PG-13,12/2/2011,Rhys Ifans,John Orloff,Columbia Pictures,2,12,0
1808,The Twilight Saga: Breaking Dawn - Part 1,281287133,117,110000000,4.9,Adventure,193280,2011,Bill Condon,PG-13,11/18/2011,Kristen Stewart,Melissa Rosenberg,Summit Entertainment,4,11,0
1810,Tower Heist,78046570,104,75000000,6.2,Action,116459,2011,Brett Ratner,PG-13,11/4/2011,Eddie Murphy,Adam Cooper,Universal Pictures,3,11,0
1811,In Time,37520095,109,40000000,6.7,Action,324606,2011,Andrew Niccol,PG-13,10/28/2011,Justin Timberlake,Andrew Niccol,Regency Enterprises,3,10,0
1812,The Tree of Life,13303319,139,32000000,6.8,Drama,146243,2011,Terrence Malick,PG-13,10/21/2011,Brad Pitt,Terrence Malick,Cottonwood Pictures,3,10,0
1813,The Three Musketeers,20377913,110,75000000,5.8,Action,93671,2011,Paul W.S. Anderson,PG-13,10/21/2011,Logan Lerman,Alex Litvak,Summit Entertainment,3,10,0
1814,Footloose,51802742,113,24000000,5.9,Comedy,40132,2011,Craig Brewer,PG-13,10/14/2011,Kenny Wormald,Dean Pitchford,Paramount Pictures,3,10,0
1815,Another Earth,1316074,92,100000,7.0,Drama,78957,2011,Mike Cahill,PG-13,10/12/2011,Brit Marling,Mike Cahill,Artists Public Domain,2,10,0
1816,Real Steel,85468508,127,110000000,7.1,Action,268336,2011,Shawn Levy,PG-13,10/7/2011,Hugh Jackman,John Gatins,DreamWorks,3,10,0
1817,Dream House,21283440,84,55000000,6.0,Drama,54803,2011,Jim Sheridan,PG-13,9/30/2011,Daniel Craig,David Loucka,Cliffjack Motion Pictures,3,9,0
1818,Courageous,34522221,100,2000000,7.0,Drama,16417,2011,Alex Kendrick,PG-13,9/30/2011,Alex Kendrick,Alex Kendrick,TriStar Pictures,3,9,0
1819,Moneyball,75605492,133,50000000,7.6,Biography,302465,2011,Bennett Miller,PG-13,9/23/2011,Brad Pitt,Steven Zaillian,Columbia Pictures,3,9,0
1820,Abduction,28087155,106,35000000,5.1,Action,68380,2011,John Singleton,PG-13,9/23/2011,Taylor Lautner,Shawn Christensen,Lionsgate,3,9,0
1821,Warrior,13657115,140,25000000,8.2,Drama,365224,2011,Gavin O'Connor,PG-13,9/9/2011,Tom Hardy,Gavin O'Connor,Lionsgate,3,9,0
1822,Contagion,75658097,106,60000000,6.6,Drama,189798,2011,Steven Soderbergh,PG-13,9/9/2011,Matt Damon,Scott Z. Burns,Warner Bros.,3,9,0
1823,Shark Night 3D,18872522,90,25000000,4.0,Horror,21890,2011,David R. Ellis,PG-13,9/2/2011,Sara Paxton,Will Hayes,Incentive Filmed Entertainment,3,9,0
1824,Apollo 18,17686929,86,5000000,5.2,Horror,49108,2011,Gonzalo L�pez-Gallego,PG-13,9/2/2011,Warren Christie,Brian Miller,Dimension Films,3,9,0
1825,Colombiana,36665854,108,40000000,6.4,Action,81197,2011,Olivier Megaton,PG-13,8/26/2011,Zoe Saldana,Luc Besson,EuropaCorp,3,8,0
1826,One Day,13843771,107,15000000,7.0,Drama,116446,2011,Lone Scherfig,PG-13,8/19/2011,Anne Hathaway,David Nicholls,Focus Features,3,8,0
1827,The Help,169708112,146,25000000,8.1,Drama,351321,2011,Tate Taylor,PG-13,8/10/2011,Emma Stone,Tate Taylor,DreamWorks,4,8,0
1828,Rise of the Planet of the Apes,176760185,105,93000000,7.6,Action,439105,2011,Rupert Wyatt,PG-13,8/5/2011,James Franco,Rick Jaffa,Twentieth Century Fox Film Corporation,4,8,0
1829,Cowboys & Aliens,100240551,119,163000000,6.0,Action,182868,2011,Jon Favreau,PG-13,7/29/2011,Daniel Craig,Roberto Orci,Universal Pictures,4,7,0
1830,"Crazy, Stupid, Love.",84351197,100,50000000,7.4,Comedy,404694,2011,Glenn Ficarra,PG-13,7/29/2011,Steve Carell,Dan Fogelman,Carousel Productions (II),3,7,0
1832,Captain America: The First Avenger,176654505,124,140000000,6.9,Action,563504,2011,Joe Johnston,PG-13,7/22/2011,Chris Evans,Christopher Markus,Paramount Pictures,4,7,0
1833,Harry Potter and the Deathly Hallows: Part 2,381011219,130,125000000,8.1,Adventure,608969,2011,David Yates,PG-13,7/15/2011,Daniel Radcliffe,Steve Kloves,Warner Bros.,4,7,0
1834,Larry Crowne,35608245,98,30000000,6.1,Comedy,53606,2011,Tom Hanks,PG-13,7/1/2011,Tom Hanks,Tom Hanks,Universal Pictures,3,7,0
1835,Transformers: Dark of the Moon,352390543,154,195000000,6.3,Action,345669,2011,Michael Bay,PG-13,6/29/2011,Shia LaBeouf,Ehren Kruger,Paramount Pictures,4,6,0
1836,Green Lantern,116601172,114,200000000,5.6,Action,235591,2011,Martin Campbell,PG-13,6/17/2011,Ryan Reynolds,Greg Berlanti,Warner Bros.,4,6,0
1838,The Beaver,970816,91,21000000,6.7,Drama,42609,2011,Jodie Foster,PG-13,6/17/2011,Mel Gibson,Kyle Killen,Summit Entertainment,1,6,0
1839,Super 8,127004179,112,50000000,7.0,Mystery,303656,2011,J.J. Abrams,PG-13,6/10/2011,Elle Fanning,J.J. Abrams,Paramount Pictures,4,6,0
1840,Midnight in Paris,56816662,100,17000000,7.7,Comedy,327869,2011,Woody Allen,PG-13,6/10/2011,Owen Wilson,Woody Allen,Mediapro,3,6,0
1841,X-Men: First Class,146408305,132,160000000,7.8,Action,561501,2011,Matthew Vaughn,PG-13,6/3/2011,James McAvoy,Ashley Miller,Twentieth Century Fox Film Corporation,4,6,0
1842,Pirates of the Caribbean: On Stranger Tides,241071802,100,250000000,6.6,Action,408968,2011,Rob Marshall,PG-13,5/20/2011,Johnny Depp,Ted Elliott,The Walt Disney Company,4,5,0
1843,Priest,29136626,87,60000000,5.7,Action,102144,2011,Scott Stewart,PG-13,5/13/2011,Paul Bettany,Cory Goodman,Screen Gems,3,5,0
1844,Thor,181030624,115,150000000,7.0,Action,585830,2011,Kenneth Branagh,PG-13,5/6/2011,Chris Hemsworth,Ashley Miller,Paramount Pictures,4,5,0
1845,Something Borrowed,39046489,100,35000000,5.9,Comedy,51026,2011,Luke Greenfield,PG-13,5/6/2011,Ginnifer Goodwin,Jennie Snyder Urman,Alcon Entertainment,3,5,0
1846,Jumping the Broom,37295394,100,6600000,5.7,Comedy,8399,2011,Salim Akil,PG-13,5/6/2011,Paula Patton,Elizabeth Hunter,TriStar Pictures,3,5,0
1847,Dylan Dog: Dead of Night,1183354,100,20000000,5.1,Action,13559,2011,Kevin Munroe,PG-13,4/29/2011,Brandon Routh,Thomas Dean Donnelly,Hyde Park Films,2,4,0
1848,Fast Five,209837675,130,125000000,7.3,Action,307369,2011,Justin Lin,PG-13,4/29/2011,Vin Diesel,Chris Morgan,Universal Pictures,4,4,0
1850,Water for Elephants,58709717,100,38000000,6.9,Drama,100146,2011,Francis Lawrence,PG-13,4/22/2011,Robert Pattinson,Richard LaGravenese,Fox 2000 Pictures,3,4,0
1851,The Conspirator,11538204,122,25000000,6.9,Crime,25030,2011,Robert Redford,PG-13,4/15/2011,Robin Wright,James D. Solomon,"American Film Company, The",3,4,0
1852,Atlas Shrugged: Part I,4752353,97,20000000,5.7,Drama,11831,2011,Paul Johansson,PG-13,4/15/2011,Taylor Schilling,Brian Patrick O'Toole,Atlas,2,4,0
1853,Hanna,40259119,111,30000000,6.8,Action,166517,2011,Joe Wright,PG-13,4/8/2011,Saoirse Ronan,Seth Lochhead,Focus Features,3,4,0
1854,Arthur,33035397,110,40000000,5.7,Comedy,47103,2011,Jason Winer,PG-13,4/8/2011,Russell Brand,Peter Baynham,Warner Bros.,3,4,0
1855,Ondine,548934,111,12000000,6.8,Drama,17919,2011,Neil Jordan,PG-13,4/6/2011,Colin Farrell,Neil Jordan,Wayfare Entertainment,1,4,0
1856,Insidious,54009150,103,1500000,6.8,Horror,226632,2011,James Wan,PG-13,4/1/2011,Patrick Wilson,Leigh Whannell,Alliance,3,4,0
1857,Source Code,54712227,93,32000000,7.5,Mystery,414859,2011,Duncan Jones,PG-13,4/1/2011,Jake Gyllenhaal,Ben Ripley,Summit Entertainment,3,4,0
1858,Sucker Punch,36392502,110,82000000,6.1,Action,207858,2011,Zack Snyder,PG-13,3/25/2011,Emily Browning,Zack Snyder,Warner Bros.,3,3,0
1859,Limitless,79249455,105,27000000,7.4,Mystery,454361,2011,Neil Burger,PG-13,3/18/2011,Bradley Cooper,Leslie Dixon,Relativity Media,3,3,0
1860,Battle Los Angeles,83552429,116,70000000,5.8,Action,160672,2011,Jonathan Liebesman,PG-13,3/11/2011,Aaron Eckhart,Christopher Bertolini,Columbia Pictures,3,3,0
1861,Red Riding Hood,37662162,100,42000000,5.4,Fantasy,96451,2011,Catherine Hardwicke,PG-13,3/11/2011,Amanda Seyfried,David Leslie Johnson,Warner Bros.,3,3,0
1862,The Adjustment Bureau,62495645,106,50200000,7.1,Romance,211918,2011,George Nolfi,PG-13,3/4/2011,Matt Damon,George Nolfi,Universal Pictures,3,3,0
1863,Beastly,27865571,86,17000000,5.6,Drama,68242,2011,Daniel Barnz,PG-13,3/4/2011,Alex Pettyfer,Daniel Barnz,CBS Films,3,3,0
1864,I Am Number Four,55100437,109,60000000,6.1,Action,205616,2011,D.J. Caruso,PG-13,2/18/2011,Alex Pettyfer,Alfred Gough,DreamWorks,3,2,0
1865,Unknown,63686397,113,30000000,6.9,Action,221649,2011,Jaume Collet-Serra,PG-13,2/18/2011,Liam Neeson,Oliver Butcher,Dark Castle Entertainment,3,2,0
1866,"Big Mommas: Like Father, Like Son",37915414,107,32000000,4.4,Action,21446,2011,John Whitesell,PG-13,2/18/2011,Martin Lawrence,Matt Fogel,Regency Enterprises,3,2,0
1867,Just Go with It,103028109,117,80000000,6.4,Comedy,185840,2011,Dennis Dugan,PG-13,2/11/2011,Adam Sandler,Allan Loeb,Columbia Pictures,4,2,0
1868,The Eagle,19490041,114,25000000,6.2,Action,57242,2011,Kevin Macdonald,PG-13,2/11/2011,Channing Tatum,Jeremy Brock,Focus Features,3,2,0
1871,The Roommate,37300107,100,16000000,4.9,Drama,30941,2011,Christian E. Christiansen,PG-13,2/4/2011,Minka Kelly,Sonny Mallhi,Screen Gems,3,2,0
1872,Rabbit Hole,2229058,91,5000000,7.0,Drama,42926,2011,John Cameron Mitchell,PG-13,1/28/2011,Nicole Kidman,David Lindsay-Abaire,Olympus Pictures,2,1,0
1873,The Rite,33047633,114,37000000,6.0,Drama,80181,2011,Mikael H�fstr�m,PG-13,1/28/2011,Colin O'Donoghue,Michael Petroni,New Line Cinema,3,1,0
1875,The Dilemma,48475290,111,70000000,5.3,Comedy,45768,2011,Ron Howard,PG-13,1/14/2011,Vince Vaughn,Allan Loeb,Universal Pictures,3,1,0
1876,The Green Hornet,98780042,100,120000000,5.8,Action,142094,2011,Michel Gondry,PG-13,1/14/2011,Seth Rogen,Seth Rogen,Columbia Pictures,3,1,0
1877,The Tempest,277943,110,20000000,5.4,Comedy,6589,2011,Julie Taymor,PG-13,1/7/2011,Helen Mirren,Julie Taymor,Miramax,1,1,0
1878,Country Strong,20218921,117,15000000,6.3,Drama,15478,2011,Shana Feste,PG-13,1/7/2011,Garrett Hedlund,Shana Feste,Screen Gems,3,1,0
1879,Season of the Witch,24827228,95,40000000,5.4,Action,80353,2011,Dominic Sena,PG-13,1/7/2011,Nicolas Cage,Bragi F. Schut,Atlas,3,1,0
1880,True Grit,171243005,110,38000000,7.6,Adventure,259855,2010,Ethan Coen,PG-13,12/22/2010,Jeff Bridges,Joel Coen,Paramount Pictures,4,12,0
1881,Little Fockers,148383780,98,100000000,5.5,Comedy,91634,2010,Paul Weitz,PG-13,12/22/2010,Ben Stiller,John Hamburg,Universal Pictures,4,12,0
1882,How Do You Know,30212620,100,120000000,5.4,Comedy,37605,2010,James L. Brooks,PG-13,12/17/2010,Reese Witherspoon,James L. Brooks,Columbia Pictures,3,12,0
1883,The Tourist,67631157,103,100000000,6.0,Action,190376,2010,Florian Henckel von Donnersmarck,PG-13,12/10/2010,Johnny Depp,Florian Henckel von Donnersmarck,GK Films,3,12,0
1884,Fair Game,9528092,108,22000000,6.8,Biography,40837,2010,Doug Liman,PG-13,12/3/2010,Naomi Watts,Jez Butterworth,River Road Entertainment,2,12,0
1885,Burlesque,39440655,119,55000000,6.4,Drama,65689,2010,Steve Antin,PG-13,11/24/2010,Cher,Steve Antin,Screen Gems,3,11,0
1887,The Next Three Days,21148651,133,35000000,7.4,Crime,155358,2010,Paul Haggis,PG-13,11/19/2010,Russell Crowe,Paul Haggis,Lionsgate,3,11,0
1889,Unstoppable,81562942,98,100000000,6.8,Action,160551,2010,Tony Scott,PG-13,11/12/2010,Denzel Washington,Mark Bomback,Twentieth Century Fox Film Corporation,3,11,0
1890,Skyline,21371425,97,10000000,4.4,Action,78787,2010,Colin Strause,PG-13,11/12/2010,Eric Balfour,Joshua Cordes,Rogue Pictures,3,11,0
1891,Morning Glory,31011732,100,40000000,6.5,Comedy,62536,2010,Roger Michell,PG-13,11/10/2010,Rachel McAdams,Aline Brosh McKenna,Bad Robot,3,11,0
1892,Hereafter,32746941,129,50000000,6.5,Drama,83345,2010,Clint Eastwood,PG-13,10/22/2010,Matt Damon,Peter Morgan,Warner Bros.,3,10,0
1893,RED,90380162,111,58000000,7.1,Action,254554,2010,Robert Schwentke,PG-13,10/15/2010,Bruce Willis,Jon Hoeber,Summit Entertainment,3,10,0
1894,Life as We Know It,53374681,100,38000000,6.6,Comedy,103763,2010,Greg Berlanti,PG-13,10/8/2010,Katherine Heigl,Ian Deitchman,Josephson Entertainment,3,10,0
1895,It's Kind of a Funny Story,6350058,101,8000000,7.1,Comedy,116014,2010,Anna Boden,PG-13,10/8/2010,Keir Gilchrist,Anna Boden,Focus Features,2,10,0
1896,The Social Network,96962694,120,40000000,7.7,Biography,521956,2010,David Fincher,PG-13,10/1/2010,Jesse Eisenberg,Aaron Sorkin,Columbia Pictures,3,10,0
1897,Wall Street: Money Never Sleeps,52474616,133,70000000,6.2,Drama,88518,2010,Oliver Stone,PG-13,9/24/2010,Shia LaBeouf,Allan Loeb,Twentieth Century Fox Film Corporation,3,9,0
1898,Easy A,58401464,92,8000000,7.1,Comedy,301623,2010,Will Gluck,PG-13,9/17/2010,Emma Stone,Bert V. Royal,Screen Gems,3,9,0
1899,Devil,33583175,80,10000000,6.3,Horror,112284,2010,John Erick Dowdle,PG-13,9/17/2010,Chris Messina,Brian Nelson,Universal Pictures,3,9,0
1900,Beyond a Reasonable Doubt,32409,106,25000000,5.9,Crime,11153,2010,Peter Hyams,PG-13,9/10/2010,Jesse Metcalfe,Peter Hyams,Autonomous Films,1,9,0
1901,Get Low,9176553,103,7500000,7.1,Drama,19987,2010,Aaron Schneider,PG-13,8/27/2010,Robert Duvall,Chris Provenzano,K5 International,2,8,0
1902,Takers,57744720,107,20000000,6.2,Action,49828,2010,John Luessenhop,PG-13,8/27/2010,Chris Brown,Peter Allen,Screen Gems,3,8,0
1903,El �ltimo exorcismo,41034350,87,1800000,5.6,Drama,43587,2010,Daniel Stamm,PG-13,8/27/2010,Patrick Fabian,Huck Botko,Strike Entertainment,3,8,0
1904,The Switch,27758465,100,19000000,6.1,Comedy,83839,2010,Josh Gordon,PG-13,8/20/2010,Jennifer Aniston,Allan Loeb,Mandate Pictures,3,8,0
1905,Vampires Suck,36661504,82,20000000,3.5,Adventure,41062,2010,Jason Friedberg,PG-13,8/18/2010,Jenn Proske,Jason Friedberg,Regency Enterprises,3,8,0
1906,Scott Pilgrim vs. the World,31494270,112,60000000,7.5,Action,302029,2010,Edgar Wright,PG-13,8/13/2010,Michael Cera,Michael Bacall,Universal Pictures,3,8,0
1907,Eat Pray Love,80574010,133,60000000,5.7,Drama,69859,2010,Ryan Murphy,PG-13,8/13/2010,Julia Roberts,Ryan Murphy,Columbia Pictures,3,8,0
1908,The Other Guys,119219978,107,100000000,6.7,Action,204044,2010,Adam McKay,PG-13,8/6/2010,Will Ferrell,Adam McKay,Columbia Pictures,4,8,0
1909,Step Up 3D,42400223,107,30000000,6.2,Drama,50180,2010,Jon M. Chu,PG-13,8/6/2010,Sharni Vinson,Amy Andelson,Summit Entertainment,3,8,0
1910,Charlie St. Cloud,31162545,100,44000000,6.5,Drama,50872,2010,Burr Steers,PG-13,7/30/2010,Zac Efron,Craig Pearce,Universal Pictures,3,7,0
1912,Salt,118311368,100,110000000,6.4,Action,259831,2010,Phillip Noyce,PG-13,7/23/2010,Angelina Jolie,Kurt Wimmer,Columbia Pictures,4,7,0
