,name,gross,runtime,budget,score,genre,votes,year,director,rating,released,star,writer,company,gross_bin,month,isweekend
4288,Dream Boy,6319,90,1200000,6.2,Drama,3250,2008,James Bolton,R,12/11/2008,Stephan Bender,James Bolton,Garbus Kroupa Entertainment,1,12,0
4289,Punisher: War Zone,7948159,103,35000000,6.0,Action,52479,2008,Lexi Alexander,R,12/5/2008,Ray Stevenson,Nick Santora,Lionsgate,2,12,0
4290,Cadillac Records,8195551,109,12000000,7.0,Biography,16677,2008,Darnell Martin,R,12/5/2008,Adrien Brody,Darnell Martin,LightWave Entertainment,2,12,0
4293,"Synecdoche, New York",3081925,124,21000000,7.5,Comedy,63483,2008,Charlie Kaufman,R,11/21/2008,Philip Seymour Hoffman,Charlie Kaufman,Sidney Kimmel Entertainment,2,11,0
4295,Repo! The Genetic Opera,140244,98,8500000,6.7,Horror,21319,2008,Darren Lynn Bousman,R,11/20/2008,Paul Sorvino,Darren Smith,Twisted Pictures,1,11,0
4297,Un par nada ejemplar,67294270,99,28000000,6.9,Comedy,202096,2008,David Wain,R,11/7/2008,Paul Rudd,Timothy Dowling,Universal Pictures,3,11,0
4300,RocknRolla,5694401,114,18000000,7.3,Action,207016,2008,Guy Ritchie,R,10/31/2008,Gerard Butler,Guy Ritchie,Warner Bros.,2,10,0
4301,Zack and Miri Make a Porno,31457946,101,24000000,6.6,Comedy,156855,2008,Kevin Smith,R,10/31/2008,Seth Rogen,Kevin Smith,Blue Askew,3,10,0
4302,Changeling,35739802,141,55000000,7.8,Biography,209863,2008,Clint Eastwood,R,10/31/2008,Angelina Jolie,J. Michael Straczynski,Imagine Entertainment,3,10,0
4303,What Just Happened,1090947,104,25000000,5.7,Comedy,24511,2008,Barry Levinson,R,10/31/2008,Robert De Niro,Art Linson,2929 Productions,2,10,0
4304,Saw V,56746769,92,10800000,5.8,Horror,95765,2008,David Hackl,R,10/24/2008,Scott Patterson,Patrick Melton,Twisted Pictures,3,10,0
4305,Pride and Glory,15709385,130,30000000,6.7,Crime,55020,2008,Gavin O'Connor,R,10/24/2008,Edward Norton,Joe Carnahan,New Line Cinema,3,10,0
4307,The Air I Breathe,25775,95,10000000,6.9,Crime,32130,2008,Jieho Lee,R,10/17/2008,Brendan Fraser,Jieho Lee,NALA Films,1,10,0
4308,Sex Drive,8402485,109,19000000,6.5,Adventure,75976,2008,Sean Anders,R,10/17/2008,Josh Zuckerman,Sean Anders,Summit Entertainment,2,10,0
4309,Body of Lies,39394666,128,70000000,7.1,Action,185521,2008,Ridley Scott,R,10/10/2008,Leonardo DiCaprio,William Monahan,Warner Bros.,3,10,0
4310,Quarantine,31691811,89,12000000,6.0,Horror,61042,2008,John Erick Dowdle,R,10/10/2008,Jennifer Carpenter,John Erick Dowdle,Screen Gems,3,10,0
4311,Appaloosa,20207003,115,20000000,6.8,Crime,52814,2008,Ed Harris,R,10/3/2008,Ed Harris,Robert Knott,New Line Cinema,3,10,0
4313,How to Lose Friends & Alienate People,2778752,110,27000000,6.5,Biography,63297,2008,Robert B. Weide,R,10/3/2008,Simon Pegg,Peter Straughan,Number 9 Films,2,10,0
4314,Ceguera,3073392,121,25000000,6.6,Drama,62356,2008,Fernando Meirelles,R,10/3/2008,Julianne Moore,Jos� Saramago,Rhombus Media,2,10,0
4316,Funny Games,1294640,111,15000000,6.5,Crime,75924,2008,Michael Haneke,R,9/26/2008,Naomi Watts,Michael Haneke,Celluloid Dreams,2,9,0
4318,Choke,2926565,92,3000000,6.5,Comedy,29460,2008,Clark Gregg,R,9/26/2008,Sam Rockwell,Clark Gregg,Fox Searchlight Pictures,2,9,0
4319,Miracle at St. Anna,7916887,160,45000000,6.0,Action,16239,2008,Spike Lee,R,9/26/2008,Derek Luke,James McBride,40 Acres & A Mule Filmworks,2,9,0
4322,My Best Friend's Girl,19219250,101,40000000,5.9,Comedy,38869,2008,Howard Deutch,R,9/19/2008,Kate Hudson,Jordan Cahan,Lionsgate,3,9,0
4323,Burn After Reading,60355347,96,37000000,7.0,Comedy,264758,2008,Ethan Coen,R,9/12/2008,Brad Pitt,Joel Coen,Focus Features,3,9,0
4324,Righteous Kill,40081410,101,60000000,6.0,Action,76498,2008,Jon Avnet,R,9/12/2008,Robert De Niro,Russell Gewirtz,Millennium Films,3,9,0
4326,"Surfer, Dude",36497,100,6000000,4.7,Comedy,7678,2008,S.R. Bindler,R,9/5/2008,Matthew McConaughey,S.R. Bindler,Berk/Lane Entertainment,1,9,0
4327,Bangkok Dangerous,15279680,99,40000000,5.4,Action,50355,2008,Danny Pang,R,9/5/2008,Nicolas Cage,Jason Richman,Initial Entertainment Group (IEG),3,9,0
4328,Transsiberian,2203641,111,15000000,6.7,Crime,44948,2008,Brad Anderson,R,9/5/2008,Woody Harrelson,Brad Anderson,Filmax International,2,9,0
4330,Elegy,3581642,112,13000000,6.8,Drama,20231,2008,Isabel Coixet,R,8/29/2008,Ben Kingsley,Nicholas Meyer,Lakeshore Entertainment,2,8,0
4331,College,4693919,100,6500000,4.6,Comedy,11342,2008,Deb Hagan,R,8/29/2008,Drake Bell,Dan Callahan,Element Films,2,8,0
4332,Hamlet 2,4881867,92,9000000,6.4,Comedy,15574,2008,Andrew Fleming,R,8/27/2008,Steve Coogan,Pam Brady,Bona Fide Productions,2,8,0
4333,Reservation Road,121994,102,11000000,6.7,Crime,19672,2008,Terry George,R,8/22/2008,Joaquin Phoenix,John Burnham Schwartz,Focus Features,1,8,0
4334,Death Race,36316032,105,45000000,6.4,Action,176350,2008,Paul W.S. Anderson,R,8/22/2008,Jason Statham,Paul W.S. Anderson,Universal Pictures,3,8,0
4335,Mirrors,30691439,110,35000000,6.2,Horror,91597,2008,Alexandre Aja,R,8/15/2008,Kiefer Sutherland,Alexandre Aja,Regency Enterprises,3,8,0
4336,Tropic Thunder,110515313,107,92000000,7.0,Action,327846,2008,Ben Stiller,R,8/13/2008,Ben Stiller,Justin Theroux,DreamWorks,4,8,0
4337,The Midnight Meat Train,83361,98,15000000,6.1,Horror,51337,2008,Ry�hei Kitamura,R,8/7/2008,Vinnie Jones,Jeff Buhler,Lakeshore Entertainment,1,8,0
4338,Pineapple Express,87341380,111,27000000,7.0,Action,272938,2008,David Gordon Green,R,8/6/2008,Seth Rogen,Seth Rogen,Columbia Pictures,3,8,0
4340,The Wackness,2077116,99,6000000,7.0,Comedy,28052,2008,Jonathan Levine,R,8/1/2008,Josh Peck,Jonathan Levine,Occupant Entertainment,2,8,0
4341,Step Brothers,100468793,98,65000000,6.9,Comedy,227558,2008,Adam McKay,R,7/25/2008,Will Ferrell,Will Ferrell,Columbia Pictures,4,7,0
4343,Felon,36756,104,2900000,7.5,Crime,68957,2008,Ric Roman Waugh,R,7/17/2008,Stephen Dorff,Ric Roman Waugh,Stage 6 Films,1,7,0
4344,The Good the Bad the Weird,128486,120,10000000,7.3,Action,28325,2008,Jee-woon Kim,R,7/17/2008,Kang-ho Song,Jee-woon Kim,Barunson,1,7,0
4345,Mongol: The Rise of Genghis Khan,5701643,126,20000000,7.3,Adventure,39640,2008,Sergei Bodrov,R,7/4/2008,Tadanobu Asano,Arif Aliev,CTB Film Company,2,7,0
4346,Wanted,134508551,110,75000000,6.7,Action,317547,2008,Timur Bekmambetov,R,6/27/2008,Angelina Jolie,Michael Brandt,Universal Pictures,4,6,0
4348,The Happening,64506874,91,48000000,5.0,Comedy,173949,2008,M. Night Shyamalan,R,6/13/2008,Mark Wahlberg,M. Night Shyamalan,Twentieth Century Fox Film Corporation,3,6,0
4349,"War, Inc.",580862,107,10000000,5.7,Action,20411,2008,Joshua Seftel,R,6/13/2008,John Cusack,Mark Leyner,New Crime Productions,1,6,0
4351,Elite Squad,8060,115,4000000,8.1,Action,86772,2008,Jos� Padilha,R,5/30/2008,Wagner Moura,Andr� Batista,Zazen Produ��es,1,5,0
4352,The Strangers,52597610,86,10000000,6.2,Horror,98780,2008,Bryan Bertino,R,5/30/2008,Scott Speedman,Bryan Bertino,Rogue Pictures,3,5,0
4353,Sex and the City,152647258,145,65000000,5.5,Comedy,104063,2008,Michael Patrick King,R,5/30/2008,Sarah Jessica Parker,Michael Patrick King,New Line Cinema,4,5,0
4354,Timber Falls,50000,100,2600000,5.3,Horror,5236,2008,Tony Giglio,R,5/23/2008,Josh Randall,Dan Kay,Rifkin-Eberts,1,5,0
4355,Then She Found Me,3735303,100,3500000,6.0,Comedy,8895,2008,Helen Hunt,R,5/9/2008,Helen Hunt,Alice Arlen,Odyssey Entertainment,2,5,0
4356,Redbelt,2344847,99,7000000,6.8,Drama,19183,2008,David Mamet,R,5/9/2008,Chiwetel Ejiofor,David Mamet,Sony Pictures,2,5,0
4357,Battle in Seattle,223537,99,8000000,6.7,Action,13248,2008,Stuart Townsend,R,5/7/2008,Andr� Benjamin,Stuart Townsend,Hyde Park Entertainment,1,5,0
4358,Harold & Kumar Escape from Guantanamo Bay,38087366,107,12000000,6.6,Adventure,119141,2008,Jon Hurwitz,R,4/25/2008,John Cho,Jon Hurwitz,New Line Cinema,3,4,0
4359,Deception,4597760,107,25000000,6.1,Crime,34378,2008,Marcel Langenegger,R,4/25/2008,Hugh Jackman,Mark Bomback,Rifkin-Eberts,2,4,0
4361,88 Minutes,16930884,108,30000000,5.9,Crime,68510,2008,Jon Avnet,R,4/18/2008,Al Pacino,Gary Scott Thompson,Millennium Films,3,4,0
4362,Crimen sin perd�n,214202,120,12000000,7.4,Crime,15474,2008,Marco Kreuzpaintner,R,4/18/2008,Kevin Kline,Jose Rivera,Lionsgate,1,4,0
4364,Forgetting Sarah Marshall,63172463,111,30000000,7.2,Comedy,230079,2008,Nicholas Stoller,R,4/18/2008,Kristen Bell,Jason Segel,Universal Pictures,3,4,0
4366,Street Kings,26415649,109,20000000,6.8,Action,98463,2008,David Ayer,R,4/11/2008,Keanu Reeves,James Ellroy,Fox Searchlight Pictures,3,4,0
4367,Pathology,108662,95,8000000,6.0,Crime,28065,2008,Marc Sch�lermann,R,4/11/2008,Alyssa Milano,Mark Neveldine,Metro-Goldwyn-Mayer (MGM),1,4,0
4369,The Ruins,17432844,90,8000000,5.9,Horror,62603,2008,Carter Smith,R,4/4/2008,Shawn Ashmore,Scott B. Smith,DreamWorks,3,4,0
4371,Stop-Loss,10911750,112,25000000,6.5,Drama,18404,2008,Kimberly Peirce,R,3/28/2008,Ryan Phillippe,Mark Richard,Paramount Pictures,3,3,0
4372,Doomsday,10955425,113,30000000,6.0,Action,65516,2008,Neil Marshall,R,3/14/2008,Rhona Mitra,Neil Marshall,Rogue Pictures,3,3,0
4373,The Bank Job,30028592,111,20000000,7.3,Crime,158842,2008,Roger Donaldson,R,3/7/2008,Jason Statham,Dick Clement,Mosaic Media Group,3,3,0
